ProductID,ChipType,Node,PartNumber,UnitPrice,CustomerSegment,SupplierID,SupplierName,SupplierType,SupplierLocation,ESGRating,FinancialHealthScore,RawMaterialID,RawMaterialName,RawMaterialCostPerUnit,RawMaterialCountryOfOrigin,LinkLeadTimeDays,SourceType,MinOrderQty,LinkPricePerUnit,ContractIncoterms,ContractCapacityCommitment,SLAOnTimeDelivery,WaferStarts,WaferLeadTimeDays,FabCycleTimeDays,WaferCost,WaferYield,AssemblyLeadTimeDays,PackagingCostPerUnit,AssemblyYield,TestPassRate,OriginCountry,DestinationCountry,ShippingMode,Carrier,AverageTransitTime,ShippingCost,DieInventory,FGInventory,WIPInventory,SafetyStockLevel,InspectionResult,DefectRate,CustomerReturnsRate,SupplierRiskScore,CountryRiskLevel,LeadTimeRisk,SingleSourceFlag,ESGComplianceStatus
PROD2010,SoC,5nm,CH20010,145.0,Automotive,SUP001,TSMC,Foundry,Taiwan,A-,85,RM001,Silicon Ingot,50,Japan,101,Primary,3313,72.68,CIF,6572,97.7,11037,101,64,2791.51,97.95,29,4.65,98.54,99.05,Taiwan,Germany,Air,UPS,12,9827.76,26374,29397,36681,1041,Pass,0.393,0.023,Medium,Medium,High,Yes,Compliant
PROD2011,GPU,7nm,CH20011,126.32,Industrial,SUP004,Amkor,OSAT,Singapore,A,88,RM002,Photoresist,20,Japan,80,Primary,3184,23.63,EXW,16826,93.2,10678,80,49,3655.39,96.09,18,4.98,95.62,99.89,Singapore,Germany,Air,DB Cargo,14,15121.54,35397,11632,33605,2666,Pass,0.183,0.061,Low,Low,Low,No,Compliant
PROD2012,GPU,5nm,CH20012,133.01,Industrial,SUP001,TSMC,Foundry,Taiwan,A-,85,RM004,Packaging Substrate,10,Taiwan,94,Primary,7528,11.32,FOB,5304,88.7,8336,94,81,4985.9,97.8,11,5.0,96.45,97.34,Taiwan,Germany,Air,UPS,12,14695.09,13640,14749,5116,1550,Pass,0.101,0.04,Medium,Medium,Medium,Yes,Compliant
PROD2013,SoC,12nm,CH20013,130.36,Data Center,SUP004,Amkor,OSAT,Singapore,A,88,RM001,Silicon Ingot,50,Japan,84,Primary,3969,62.91,EXW,19468,94.3,5953,84,61,3727.95,96.33,16,0.72,97.15,98.15,Singapore,Germany,Air,FedEx,14,10543.83,38542,8109,16200,4232,Pass,0.349,0.098,Low,Low,Medium,Yes,Compliant
PROD2014,GPU,5nm,CH20014,121.84,Consumer Electronics,SUP004,Amkor,OSAT,Singapore,A,88,RM003,Copper Wire,5,China,88,Primary,9824,6.62,FOB,5330,88.4,3469,88,84,3726.98,93.39,22,1.6,98.81,97.51,Singapore,Germany,Air,UPS,16,6781.99,22325,5844,17475,1084,Pass,0.09,0.038,Low,Low,Medium,Yes,Compliant
PROD2015,Memory,5nm,CH20015,121.21,Industrial,SUP004,Amkor,OSAT,Singapore,A,88,RM004,Packaging Substrate,10,Taiwan,87,Primary,4412,12.87,EXW,11496,85.6,4754,87,74,2640.46,97.33,10,3.92,95.73,98.45,Singapore,Germany,Air,DB Cargo,25,10742.46,18371,4623,16301,2297,Pass,0.277,0.071,Low,Low,Medium,Yes,Compliant
PROD2016,SoC,5nm,CH20016,121.26,Automotive,SUP004,Amkor,OSAT,Singapore,A,88,RM002,Photoresist,20,Japan,69,Primary,8240,26.74,DDP,19002,87.8,9744,69,52,2726.32,94.64,13,0.56,95.11,95.52,Singapore,Germany,Air,DB Cargo,16,11388.35,24289,7308,29371,1907,Pass,0.149,0.018,Low,Low,Low,Yes,Compliant
PROD2017,ASIC,12nm,CH20017,163.51,Automotive,SUP001,TSMC,Foundry,Taiwan,A-,85,RM004,Packaging Substrate,10,Taiwan,82,Primary,3888,13.46,DDP,6597,86.9,5683,82,89,2110.68,98.88,27,2.93,96.36,95.48,Taiwan,Germany,Air,FedEx,12,16648.01,23668,19546,17201,4831,Pass,0.223,0.092,Medium,Medium,Medium,No,Compliant
PROD2018,Memory,7nm,CH20018,41.1,Data Center,SUP004,Amkor,OSAT,Singapore,A,88,RM004,Packaging Substrate,10,Taiwan,80,Primary,5782,13.3,DDP,9207,97.7,12206,80,68,2641.63,95.24,18,4.81,99.13,97.46,Singapore,Germany,Air,FedEx,16,10166.3,14889,29125,8637,3068,Pass,0.302,0.084,Low,Low,Low,No,Compliant
PROD2019,ASIC,12nm,CH20019,42.98,Data Center,SUP002,GlobalFoundries,Foundry,USA,A,90,RM003,Copper Wire,5,China,60,Primary,1362,7.26,EXW,7848,93.9,9515,60,70,2969.84,95.27,14,3.55,97.87,97.62,USA,Germany,Road,DHL,16,7279.54,26789,24178,4435,2142,Pass,0.186,0.018,Low,Low,Low,No,Compliant
PROD2020,Memory,12nm,CH20020,161.16,Automotive,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM002,Photoresist,20,Japan,97,Primary,5759,25.13,CIF,14321,88.8,6580,97,50,4301.12,93.04,19,0.76,97.26,98.6,Taiwan,Germany,Air,FedEx,12,17674.1,29902,21719,6629,4758,Pass,0.203,0.037,Medium,Medium,Medium,No,Non-compliant
PROD2021,GPU,12nm,CH20021,127.63,Automotive,SUP001,TSMC,Foundry,Taiwan,A-,85,RM004,Packaging Substrate,10,Taiwan,84,Primary,2437,14.12,EXW,10280,89.4,13198,84,88,3169.48,96.04,26,1.27,99.19,99.24,Taiwan,Germany,Air,DB Cargo,12,16339.04,26370,18232,4595,1560,Pass,0.112,0.014,Medium,Medium,Medium,Yes,Compliant
PROD2022,Memory,5nm,CH20022,80.62,Automotive,SUP005,UTAC,OSAT,China,B,75,RM002,Photoresist,20,Japan,94,Primary,7893,25.69,FOB,8940,88.7,2573,94,64,2810.78,92.67,12,2.56,96.14,95.61,China,Germany,Air,DHL,18,18213.01,11554,15823,18866,2337,Fail,0.057,0.023,High,High,Medium,Yes,Non-compliant
PROD2023,SoC,12nm,CH20023,113.07,Data Center,SUP001,TSMC,Foundry,Taiwan,A-,85,RM003,Copper Wire,5,China,115,Primary,8883,6.37,FOB,5630,87.4,11553,115,52,3843.08,94.39,16,2.88,95.75,96.17,Taiwan,Germany,Air,DHL,12,8001.21,23988,2577,20850,1847,Fail,0.084,0.03,Medium,Medium,High,Yes,Compliant
PROD2024,ASIC,12nm,CH20024,125.03,Consumer Electronics,SUP004,Amkor,OSAT,Singapore,A,88,RM001,Silicon Ingot,50,Japan,69,Primary,2736,55.03,FOB,18632,92.6,6569,69,67,4095.4,96.59,14,2.27,98.05,99.58,Singapore,Germany,Air,DHL,19,7800.19,12767,20886,36707,2642,Pass,0.21,0.098,Low,Low,Low,No,Compliant
PROD2025,ASIC,12nm,CH20025,198.83,Consumer Electronics,SUP005,UTAC,OSAT,China,B,75,RM001,Silicon Ingot,50,Japan,74,Primary,2885,61.4,EXW,12935,89.0,9274,74,51,2789.54,94.72,19,3.21,97.83,96.29,China,Germany,Air,FedEx,15,13927.28,49956,3169,11965,1870,Fail,0.181,0.027,High,High,Low,Yes,Non-compliant
PROD2026,ASIC,5nm,CH20026,141.61,Consumer Electronics,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM002,Photoresist,20,Japan,93,Primary,5090,28.87,FOB,14739,96.6,5594,93,71,2407.84,95.67,24,4.12,97.39,95.48,Taiwan,Germany,Air,UPS,12,6460.97,40971,18587,15460,3331,Pass,0.111,0.017,Medium,Medium,Medium,No,Non-compliant
PROD2027,Memory,7nm,CH20027,80.17,Industrial,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM004,Packaging Substrate,10,Taiwan,91,Primary,5300,13.27,FOB,15215,94.0,3273,91,58,3602.08,98.91,13,3.15,95.5,95.82,Taiwan,Germany,Air,DHL,12,14194.41,48759,4983,18673,4562,Pass,0.148,0.087,Medium,Medium,Medium,Yes,Non-compliant
PROD2028,SoC,12nm,CH20028,122.25,Automotive,SUP005,UTAC,OSAT,China,B,75,RM002,Photoresist,20,Japan,96,Primary,1146,23.48,DDP,9727,90.5,2993,96,68,4251.63,95.38,18,2.87,95.0,98.53,China,Germany,Road,UPS,24,11496.04,15101,19786,28150,2121,Pass,0.25,0.087,High,High,Medium,No,Non-compliant
PROD2029,GPU,12nm,CH20029,145.47,Automotive,SUP002,GlobalFoundries,Foundry,USA,A,90,RM004,Packaging Substrate,10,Taiwan,92,Primary,9142,12.36,FOB,14533,94.0,10591,92,74,2076.21,95.28,25,3.94,97.9,95.01,USA,Germany,Rail,DB Cargo,24,14113.56,34435,19431,26766,2232,Pass,0.151,0.051,Low,Low,Medium,Yes,Compliant
PROD2030,Memory,7nm,CH20030,163.28,Data Center,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM003,Copper Wire,5,China,107,Primary,8129,7.0,DDP,18851,97.9,9829,107,75,2151.05,98.04,21,1.77,97.9,96.42,Taiwan,Germany,Air,UPS,12,12349.91,27031,12344,31427,4100,Pass,0.349,0.056,Medium,Medium,High,Yes,Non-compliant
PROD2031,ASIC,5nm,CH20031,171.73,Consumer Electronics,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM001,Silicon Ingot,50,Japan,117,Primary,1787,68.26,FOB,16732,96.6,11488,117,58,4040.47,93.79,13,4.17,98.19,97.2,Taiwan,Germany,Air,DB Cargo,12,16794.89,7772,21201,12446,4661,Pass,0.385,0.09,Medium,Medium,High,Yes,Non-compliant
PROD2032,ASIC,12nm,CH20032,52.43,Automotive,SUP004,Amkor,OSAT,Singapore,A,88,RM001,Silicon Ingot,50,Japan,91,Primary,5471,61.62,FOB,16936,87.5,14355,91,70,4299.82,95.64,21,4.97,96.55,99.84,Singapore,Germany,Air,DB Cargo,21,9940.23,20354,9403,27605,3020,Pass,0.121,0.065,Low,Low,Medium,Yes,Compliant
PROD2033,GPU,12nm,CH20033,174.19,Automotive,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM001,Silicon Ingot,50,Japan,115,Primary,5474,73.67,EXW,5654,97.5,7724,115,76,2563.45,96.76,15,1.79,95.12,98.6,Taiwan,Germany,Air,DHL,12,11204.15,33158,24552,38546,3616,Pass,0.357,0.086,Medium,Medium,High,Yes,Non-compliant
PROD2034,Memory,7nm,CH20034,93.66,Consumer Electronics,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM004,Packaging Substrate,10,Taiwan,98,Primary,2008,11.83,CIF,5128,89.7,10572,98,69,2156.12,95.72,10,4.89,97.6,97.65,Taiwan,Germany,Air,UPS,12,18834.34,46971,25530,10392,4607,Pass,0.176,0.045,Medium,Medium,Medium,Yes,Non-compliant
PROD2035,SoC,5nm,CH20035,68.24,Consumer Electronics,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM002,Photoresist,20,Japan,82,Primary,3969,27.25,CIF,10781,92.6,4383,82,88,2464.11,93.68,12,1.52,95.3,98.23,Taiwan,Germany,Air,UPS,12,12940.31,27408,17583,26153,4456,Pass,0.362,0.053,Medium,Medium,Medium,Yes,Non-compliant
PROD2036,ASIC,5nm,CH20036,140.38,Automotive,SUP002,GlobalFoundries,Foundry,USA,A,90,RM001,Silicon Ingot,50,Japan,74,Primary,8552,63.15,EXW,5036,98.0,7898,74,52,3390.6,93.42,17,3.12,97.27,97.42,USA,Germany,Road,DHL,22,16235.51,43549,3533,7304,2945,Pass,0.274,0.033,Low,Low,Low,Yes,Compliant
PROD2037,SoC,5nm,CH20037,195.56,Automotive,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM003,Copper Wire,5,China,81,Primary,5169,6.82,FOB,7856,88.4,8093,81,85,3000.77,97.53,13,3.54,96.75,96.63,Taiwan,Germany,Air,DB Cargo,12,5463.43,19479,14338,8004,2682,Pass,0.347,0.03,Medium,Medium,Medium,Yes,Non-compliant
PROD2038,Memory,7nm,CH20038,156.97,Automotive,SUP002,GlobalFoundries,Foundry,USA,A,90,RM003,Copper Wire,5,China,73,Primary,1357,7.15,EXW,11938,87.0,6624,73,53,4154.98,96.01,29,2.89,95.6,96.78,USA,Germany,Air,UPS,26,19215.24,35229,2735,32019,4624,Pass,0.352,0.02,Low,Low,Low,Yes,Compliant
PROD2039,ASIC,12nm,CH20039,67.17,Consumer Electronics,SUP001,TSMC,Foundry,Taiwan,A-,85,RM003,Copper Wire,5,China,95,Primary,5198,6.97,FOB,15718,96.3,14288,95,61,2358.48,93.66,18,4.56,97.8,96.76,Taiwan,Germany,Air,FedEx,12,7340.99,8812,5533,31821,2479,Pass,0.089,0.073,Medium,Medium,Medium,Yes,Compliant
PROD2040,Memory,5nm,CH20040,152.18,Industrial,SUP001,TSMC,Foundry,Taiwan,A-,85,RM004,Packaging Substrate,10,Taiwan,94,Primary,1833,14.62,EXW,18704,87.9,12675,94,86,4372.43,93.98,23,2.8,98.12,97.87,Taiwan,Germany,Air,FedEx,12,6203.17,22079,18732,25923,2941,Pass,0.112,0.085,Medium,Medium,Medium,No,Compliant
PROD2041,SoC,7nm,CH20041,126.68,Data Center,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM002,Photoresist,20,Japan,76,Primary,8031,25.35,DDP,16104,85.2,8984,76,81,2200.62,93.24,22,1.96,98.23,98.27,Taiwan,Germany,Air,FedEx,12,7256.18,18556,24063,34271,1927,Pass,0.348,0.09,Medium,Medium,Low,Yes,Non-compliant
PROD2042,SoC,5nm,CH20042,75.14,Industrial,SUP002,GlobalFoundries,Foundry,USA,A,90,RM003,Copper Wire,5,China,83,Primary,9188,6.46,CIF,8821,87.1,5581,83,66,2586.15,98.25,20,4.69,98.8,95.69,USA,Germany,Air,DB Cargo,28,13369.32,49755,3466,30942,3061,Pass,0.147,0.022,Low,Low,Medium,Yes,Compliant
PROD2043,GPU,7nm,CH20043,126.5,Data Center,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM001,Silicon Ingot,50,Japan,78,Primary,9172,66.96,DDP,16248,86.7,11192,78,55,2315.16,94.52,27,2.88,95.76,96.83,Taiwan,Germany,Air,DB Cargo,12,8294.72,18927,8507,7312,1864,Pass,0.06,0.02,Medium,Medium,Low,No,Non-compliant
PROD2044,GPU,5nm,CH20044,182.27,Industrial,SUP002,GlobalFoundries,Foundry,USA,A,90,RM004,Packaging Substrate,10,Taiwan,92,Primary,3232,12.43,EXW,12205,96.0,3586,92,57,3431.03,95.24,12,1.94,98.54,95.18,USA,Germany,Sea,DHL,23,17854.57,5154,18506,6973,3695,Pass,0.186,0.021,Low,Low,Medium,Yes,Compliant
PROD2045,SoC,7nm,CH20045,53.44,Consumer Electronics,SUP005,UTAC,OSAT,China,B,75,RM003,Copper Wire,5,China,61,Primary,7863,5.97,CIF,13711,86.7,11963,61,46,2917.62,93.4,21,2.97,95.99,97.0,China,Germany,Sea,DB Cargo,22,5680.03,28380,7180,36963,3625,Pass,0.244,0.024,High,High,Low,No,Non-compliant
PROD2046,GPU,7nm,CH20046,40.23,Automotive,SUP001,TSMC,Foundry,Taiwan,A-,85,RM003,Copper Wire,5,China,86,Primary,5364,6.98,FOB,11551,97.0,11286,86,76,4620.56,94.83,26,4.4,98.64,96.66,Taiwan,Germany,Air,UPS,12,5907.79,7500,25620,8015,4434,Fail,0.164,0.027,Medium,Medium,Medium,Yes,Compliant
PROD2047,Memory,7nm,CH20047,41.95,Consumer Electronics,SUP002,GlobalFoundries,Foundry,USA,A,90,RM004,Packaging Substrate,10,Taiwan,76,Primary,2854,14.84,FOB,16402,92.9,6186,76,63,3559.36,97.35,29,2.78,97.61,98.29,USA,Germany,Sea,DB Cargo,23,8655.58,11571,3274,33921,2413,Pass,0.176,0.092,Low,Low,Low,Yes,Compliant
PROD2048,Memory,5nm,CH20048,191.76,Automotive,SUP001,TSMC,Foundry,Taiwan,A-,85,RM004,Packaging Substrate,10,Taiwan,89,Primary,3041,14.43,EXW,15462,90.0,4277,89,62,3070.07,92.9,10,0.71,96.53,99.49,Taiwan,Germany,Air,DB Cargo,12,6889.32,21352,26865,3487,4683,Pass,0.379,0.069,Medium,Medium,Medium,Yes,Compliant
PROD2049,ASIC,5nm,CH20049,192.84,Automotive,SUP005,UTAC,OSAT,China,B,75,RM003,Copper Wire,5,China,98,Primary,8416,6.53,FOB,19998,94.5,2629,98,56,2929.56,95.8,19,4.17,97.9,95.69,China,Germany,Rail,DHL,26,17067.47,35283,7694,16377,2849,Pass,0.29,0.098,High,High,Medium,No,Non-compliant
PROD2050,Memory,7nm,CH20050,164.39,Data Center,SUP001,TSMC,Foundry,Taiwan,A-,85,RM001,Silicon Ingot,50,Japan,92,Primary,1335,63.02,FOB,11608,86.2,3155,92,61,4561.57,96.89,22,3.68,98.14,98.17,Taiwan,Germany,Air,DB Cargo,12,6800.89,43465,24283,16837,4093,Pass,0.385,0.022,Medium,Medium,Medium,Yes,Compliant
PROD2051,ASIC,5nm,CH20051,101.56,Industrial,SUP002,GlobalFoundries,Foundry,USA,A,90,RM002,Photoresist,20,Japan,82,Primary,3716,29.91,FOB,12621,94.4,10387,82,60,3986.01,92.67,10,1.36,97.04,99.09,USA,Germany,Road,DB Cargo,14,19171.34,20746,7581,28666,3128,Pass,0.378,0.032,Low,Low,Medium,Yes,Compliant
PROD2052,SoC,12nm,CH20052,182.04,Industrial,SUP002,GlobalFoundries,Foundry,USA,A,90,RM003,Copper Wire,5,China,60,Primary,8219,5.93,FOB,13144,85.0,7024,60,47,2864.12,97.94,29,0.54,95.23,95.01,USA,Germany,Rail,DHL,18,16481.11,46662,22168,9862,2222,Pass,0.356,0.015,Low,Low,Low,Yes,Compliant
PROD2053,ASIC,12nm,CH20053,174.08,Industrial,SUP002,GlobalFoundries,Foundry,USA,A,90,RM001,Silicon Ingot,50,Japan,77,Primary,6419,74.13,CIF,15840,95.3,7430,77,58,4275.3,98.0,22,3.92,98.87,98.24,USA,Germany,Rail,DB Cargo,16,17264.11,49479,4766,26809,1987,Pass,0.075,0.086,Low,Low,Low,No,Compliant
PROD2054,SoC,7nm,CH20054,177.43,Consumer Electronics,SUP004,Amkor,OSAT,Singapore,A,88,RM003,Copper Wire,5,China,84,Primary,2979,6.76,EXW,18755,89.1,1037,84,57,3339.17,92.75,28,1.58,98.04,96.39,Singapore,Germany,Air,DHL,28,6347.48,48317,19693,12207,2569,Pass,0.293,0.014,Low,Low,Medium,Yes,Compliant
PROD2055,SoC,5nm,CH20055,117.24,Automotive,SUP001,TSMC,Foundry,Taiwan,A-,85,RM002,Photoresist,20,Japan,78,Primary,2673,27.75,DDP,6176,94.2,13847,78,69,2236.95,92.11,10,2.14,97.53,95.93,Taiwan,Germany,Air,FedEx,12,9696.68,28047,17171,13489,2620,Pass,0.36,0.017,Medium,Medium,Low,Yes,Compliant
PROD2056,ASIC,7nm,CH20056,100.31,Consumer Electronics,SUP005,UTAC,OSAT,China,B,75,RM001,Silicon Ingot,50,Japan,75,Primary,2353,65.19,CIF,9633,92.5,5313,75,79,4514.87,93.95,13,3.22,96.87,95.35,China,Germany,Rail,DB Cargo,28,17473.26,25312,27908,28192,2682,Pass,0.085,0.075,High,High,Low,Yes,Non-compliant
PROD2057,Memory,7nm,CH20057,85.41,Industrial,SUP005,UTAC,OSAT,China,B,75,RM003,Copper Wire,5,China,88,Primary,9456,5.58,EXW,19662,97.4,7779,88,83,2416.74,97.48,24,3.14,98.89,95.32,China,Germany,Road,FedEx,24,8527.26,40259,24550,12555,2670,Pass,0.072,0.094,High,High,Medium,No,Non-compliant
PROD2058,Memory,5nm,CH20058,166.44,Industrial,SUP005,UTAC,OSAT,China,B,75,RM004,Packaging Substrate,10,Taiwan,84,Primary,4052,12.58,CIF,14066,86.4,13240,84,63,4019.26,92.82,22,3.9,98.31,99.55,China,Germany,Air,DHL,19,6822.68,27551,21188,25276,3509,Pass,0.135,0.059,High,High,Medium,Yes,Non-compliant
PROD2059,SoC,5nm,CH20059,189.92,Consumer Electronics,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM004,Packaging Substrate,10,Taiwan,88,Primary,7201,12.77,FOB,13538,89.2,4987,88,63,4034.91,94.38,24,4.6,95.43,96.22,Taiwan,Germany,Air,DHL,12,19227.54,22905,19504,21520,3012,Pass,0.11,0.022,Medium,Medium,Medium,Yes,Non-compliant
PROD2060,SoC,5nm,CH20060,193.18,Automotive,SUP001,TSMC,Foundry,Taiwan,A-,85,RM003,Copper Wire,5,China,80,Primary,9438,6.63,DDP,18768,90.9,12243,80,64,2648.79,98.57,18,3.71,97.28,95.92,Taiwan,Germany,Air,DB Cargo,12,15028.26,24642,28806,32517,2355,Pass,0.129,0.023,Medium,Medium,Low,No,Compliant
PROD2061,Memory,5nm,CH20061,91.69,Automotive,SUP005,UTAC,OSAT,China,B,75,RM004,Packaging Substrate,10,Taiwan,95,Primary,4146,13.61,DDP,6797,97.8,5712,95,45,2757.03,93.1,16,2.26,98.69,97.78,China,Germany,Sea,FedEx,18,15854.83,34181,13827,27514,4550,Pass,0.082,0.015,High,High,Medium,Yes,Non-compliant
PROD2062,ASIC,12nm,CH20062,181.71,Industrial,SUP002,GlobalFoundries,Foundry,USA,A,90,RM001,Silicon Ingot,50,Japan,91,Primary,6926,68.24,CIF,13613,95.8,12090,91,74,2891.14,98.62,10,1.92,98.02,97.43,USA,Germany,Road,DHL,18,11323.72,46668,2686,29079,1899,Pass,0.209,0.017,Low,Low,Medium,Yes,Compliant
PROD2063,Memory,7nm,CH20063,98.42,Data Center,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM004,Packaging Substrate,10,Taiwan,94,Primary,2559,11.6,EXW,15051,96.3,13305,94,79,3267.51,92.1,18,0.96,98.51,95.91,Taiwan,Germany,Air,FedEx,12,7789.91,19947,26280,7425,3798,Pass,0.286,0.053,Medium,Medium,Medium,No,Non-compliant
PROD2064,Memory,12nm,CH20064,50.19,Automotive,SUP005,UTAC,OSAT,China,B,75,RM004,Packaging Substrate,10,Taiwan,86,Primary,8707,13.99,FOB,6494,92.9,13362,86,66,4754.8,97.22,18,1.9,97.9,95.19,China,Germany,Road,UPS,22,11883.14,48388,15991,30078,2661,Pass,0.337,0.015,High,High,Medium,Yes,Non-compliant
PROD2065,Memory,5nm,CH20065,133.86,Automotive,SUP004,Amkor,OSAT,Singapore,A,88,RM003,Copper Wire,5,China,69,Primary,8585,7.45,DDP,5018,97.1,5957,69,69,3574.75,98.71,17,2.01,96.72,98.06,Singapore,Germany,Air,UPS,19,11453.65,29711,17401,11230,4877,Pass,0.19,0.075,Low,Low,Low,Yes,Compliant
PROD2066,SoC,7nm,CH20066,132.65,Consumer Electronics,SUP001,TSMC,Foundry,Taiwan,A-,85,RM004,Packaging Substrate,10,Taiwan,100,Primary,9110,14.37,EXW,16930,85.8,10544,100,53,3084.25,96.49,18,4.77,95.43,98.47,Taiwan,Germany,Air,DB Cargo,12,18962.75,14341,4604,16969,1149,Pass,0.145,0.02,Medium,Medium,Medium,No,Compliant
PROD2067,SoC,5nm,CH20067,112.58,Industrial,SUP001,TSMC,Foundry,Taiwan,A-,85,RM004,Packaging Substrate,10,Taiwan,101,Primary,3736,11.22,FOB,12064,91.4,14154,101,79,3306.57,95.99,28,0.88,97.3,96.5,Taiwan,Germany,Air,DB Cargo,12,7831.43,6374,14287,30785,3811,Fail,0.191,0.075,Medium,Medium,High,Yes,Compliant
